domain_2310 IP_1355 1
domain_253 IP_1114 1
domain_253 IP_1147 1
domain_253 IP_1126 1
domain_253 IP_308 1
domain_253 IP_757 1
domain_253 IP_341 1
domain_253 IP_180 1
domain_253 IP_963 1
domain_253 IP_74 1
domain_1273 IP_1204 1
domain_1273 IP_728 1
domain_1250 IP_53 1
domain_1250 IP_746 1
domain_1250 IP_610 1
domain_1250 IP_845 1
domain_908 IP_224 1
domain_908 IP_162 1
domain_1254 IP_712 1
domain_1254 IP_97 1
domain_2260 IP_684 1
domain_2303 IP_300 1
domain_1534 IP_244 1
domain_1140 IP_96 1
domain_1140 IP_1454 1
domain_1540 IP_1387 1
domain_1540 IP_387 1
domain_1540 IP_981 1
domain_1540 IP_699 1
domain_1313 IP_762 1
domain_1313 IP_1073 1
domain_1313 IP_0 1
domain_1313 IP_1260 1
domain_1255 IP_587 1
domain_1255 IP_1038 1
domain_2320 IP_1159 1
domain_2320 IP_1311 1
domain_1219 IP_1344 1
domain_1696 IP_599 1
domain_708 IP_1126 1
domain_708 IP_341 1
domain_708 IP_1114 1
domain_708 IP_308 1
domain_708 IP_963 1
domain_708 IP_180 1
domain_708 IP_757 1
domain_708 IP_1147 1
domain_708 IP_74 1
domain_2006 IP_16 1
domain_2290 IP_1185 1
domain_1627 IP_1368 1
domain_646 IP_308 1
domain_646 IP_1147 1
domain_646 IP_1114 1
domain_646 IP_757 1
domain_646 IP_74 1
domain_646 IP_1126 1
domain_646 IP_180 1
domain_646 IP_341 1
domain_646 IP_963 1
domain_413 IP_1147 1
domain_413 IP_1114 1
domain_413 IP_308 1
domain_413 IP_341 1
domain_413 IP_1126 1
domain_413 IP_963 1
domain_413 IP_757 1
domain_413 IP_180 1
domain_413 IP_74 1
domain_934 IP_238 1
domain_1619 IP_1368 1
domain_1882 IP_1147 1
domain_1882 IP_757 1
domain_1882 IP_308 1
domain_1882 IP_74 1
domain_1882 IP_341 1
domain_1882 IP_180 1
domain_1882 IP_1126 1
domain_1882 IP_963 1
